TCM_symptom_id,Syndrome_id
SMTS00358,SMSY00016
SMTS00390,SMSY00016
SMTS00406,SMSY00016
SMTS00414,SMSY00016
SMTS00420,SMSY00016
SMTS00446,SMSY00016
SMTS00455,SMSY00016
SMTS00492,SMSY00016
SMTS00565,SMSY00016
SMTS00566,SMSY00016
SMTS00573,SMSY00016
SMTS00577,SMSY00016
SMTS00579,SMSY00016
SMTS00580,SMSY00016
SMTS00589,SMSY00016
SMTS00616,SMSY00016
SMTS00617,SMSY00016
SMTS00618,SMSY00016
SMTS00619,SMSY00016
SMTS00623,SMSY00016
SMTS00625,SMSY00016
SMTS00627,SMSY00016
SMTS00650,SMSY00016
SMTS00670,SMSY00016
SMTS00671,SMSY00016
SMTS00672,SMSY00016
SMTS00695,SMSY00016
SMTS00706,SMSY00016
SMTS00721,SMSY00016
SMTS00727,SMSY00016
SMTS00728,SMSY00016
SMTS00729,SMSY00016
SMTS00730,SMSY00016
SMTS00735,SMSY00016
SMTS00736,SMSY00016
SMTS00742,SMSY00016
SMTS00743,SMSY00016
SMTS00744,SMSY00016
SMTS00747,SMSY00016
SMTS00748,SMSY00016
SMTS00749,SMSY00016
SMTS00752,SMSY00016
SMTS00786,SMSY00016
SMTS00832,SMSY00016
SMTS00834,SMSY00016
SMTS00835,SMSY00016
SMTS00836,SMSY00016
SMTS00837,SMSY00016
SMTS00838,SMSY00016
SMTS00839,SMSY00016
SMTS00840,SMSY00016
SMTS00841,SMSY00016
SMTS00867,SMSY00016
SMTS00868,SMSY00016
SMTS00898,SMSY00016
SMTS00899,SMSY00016
SMTS00902,SMSY00016
SMTS00906,SMSY00016
SMTS00909,SMSY00016
SMTS00922,SMSY00016
SMTS00931,SMSY00016
SMTS00933,SMSY00016
SMTS00947,SMSY00016
SMTS00978,SMSY00016
SMTS00981,SMSY00016
SMTS00982,SMSY00016
SMTS01021,SMSY00016
SMTS01071,SMSY00016
SMTS01072,SMSY00016
SMTS01073,SMSY00016
SMTS01078,SMSY00016
SMTS01079,SMSY00016
SMTS01080,SMSY00016
SMTS01081,SMSY00016
SMTS01082,SMSY00016
SMTS01108,SMSY00016
SMTS01139,SMSY00016
SMTS01146,SMSY00016
SMTS01147,SMSY00016
SMTS01243,SMSY00016
SMTS01244,SMSY00016
SMTS01246,SMSY00016
SMTS01264,SMSY00016
SMTS01269,SMSY00016
SMTS01275,SMSY00016
SMTS01277,SMSY00016
SMTS01282,SMSY00016
SMTS01289,SMSY00016
SMTS01292,SMSY00016
SMTS01293,SMSY00016
SMTS01390,SMSY00016
SMTS01401,SMSY00016
SMTS01405,SMSY00016
SMTS01411,SMSY00016
SMTS01443,SMSY00016
SMTS01444,SMSY00016
SMTS01455,SMSY00016
SMTS01576,SMSY00016
SMTS01577,SMSY00016
SMTS01593,SMSY00016
SMTS01594,SMSY00016
SMTS01595,SMSY00016
SMTS01596,SMSY00016
SMTS01597,SMSY00016
SMTS01598,SMSY00016
SMTS01599,SMSY00016
SMTS01600,SMSY00016
SMTS01601,SMSY00016
SMTS01676,SMSY00016
SMTS01677,SMSY00016
SMTS01678,SMSY00016
SMTS01679,SMSY00016
SMTS01680,SMSY00016
SMTS01681,SMSY00016
SMTS01685,SMSY00016
SMTS01686,SMSY00016
SMTS01698,SMSY00016
SMTS01710,SMSY00016
SMTS01716,SMSY00016
SMTS01725,SMSY00016
SMTS01740,SMSY00016
SMTS01820,SMSY00016
