HERBDB_ID,hot,cold,internal,external,yin,yang,excess,deficiency
HERB002185,1,0,0,0,1,1,0,1
HERB001947,1,0,0,0,0,1,1,0
HERB002050,0,1,0,0,1,0,0,1
HERB000546,1,0,0,0,1,1,0,1
HERB001564,0,0,0,0,1,0,0,1
HERB000029,1,0,0,0,0,1,1,0
HERB004605,1,1,0,0,1,1,0,0
HERB002690,0,0,1,0,0,0,1,0
HERB004529,0,0,1,0,0,0,1,0
HERB003159,1,1,0,0,1,1,0,0
HERB003175,1,1,0,0,1,1,1,0
HERB001726,0,0,0,0,0,0,0,0
HERB000940,1,0,1,0,0,1,0,1
HERB003979,0,1,1,0,1,0,0,1
HERB006342,0,0,1,0,0,0,0,0
HERB002954,1,1,0,0,1,1,1,0
HERB002934,0,0,1,0,0,0,1,0
