Syndrome_id,Herb_id
SMSY00073,SMHB00121
SMSY00073,SMHB00699
SMSY00073,SMHB00172
SMSY00073,SMHB00601
SMSY00073,SMHB00217
SMSY00073,SMHB00218
SMSY00073,SMHB00263
SMSY00073,SMHB00679
SMSY00073,SMHB00197
SMSY00073,SMHB00677
SMSY00073,SMHB00177
SMSY00073,SMHB00066
SMSY00073,SMHB00240
SMSY00073,SMHB00403
SMSY00073,SMHB00453
SMSY00073,SMHB00205
SMSY00073,SMHB00207
SMSY00073,SMHB00607
SMSY00073,SMHB00332
SMSY00073,SMHB00329
SMSY00073,SMHB00191
SMSY00073,SMHB00702
SMSY00073,SMHB00580
SMSY00073,SMHB00184
SMSY00073,SMHB00188
SMSY00073,SMHB00647
SMSY00073,SMHB00186
SMSY00073,SMHB00251
SMSY00075,SMHB00647
SMSY00076,SMHB00186
SMSY00077,SMHB00035
SMSY00077,SMHB00554
SMSY00077,SMHB00201
SMSY00078,SMHB00052
SMSY00079,SMHB00622
SMSY00079,SMHB00084
SMSY00080,SMHB00085
SMSY00080,SMHB00364
SMSY00080,SMHB00357
SMSY00080,SMHB00075
SMSY00080,SMHB00483
SMSY00080,SMHB00279
SMSY00081,SMHB00357
SMSY00082,SMHB00244
SMSY00083,SMHB00284
SMSY00083,SMHB00445
SMSY00083,SMHB00065
SMSY00084,SMHB00413
SMSY00084,SMHB00038
SMSY00084,SMHB00366
SMSY00084,SMHB00426
SMSY00084,SMHB00089
SMSY00084,SMHB00087
SMSY00084,SMHB00364
SMSY00084,SMHB00514
SMSY00084,SMHB00075
SMSY00084,SMHB00520
SMSY00084,SMHB00598
SMSY00084,SMHB00058
SMSY00084,SMHB00660
SMSY00084,SMHB00445
SMSY00084,SMHB00023
SMSY00084,SMHB00026
SMSY00084,SMHB00541
SMSY00084,SMHB00542
SMSY00084,SMHB00566
SMSY00084,SMHB00667
SMSY00084,SMHB00493
SMSY00084,SMHB00668
SMSY00084,SMHB00217
SMSY00084,SMHB00263
SMSY00084,SMHB00679
SMSY00084,SMHB00453
SMSY00084,SMHB00207
SMSY00084,SMHB00268
SMSY00084,SMHB00580
SMSY00084,SMHB00188
SMSY00084,SMHB00648
SMSY00084,SMHB00251
SMSY00085,SMHB00648
SMSY00086,SMHB00364
SMSY00086,SMHB00075
SMSY00087,SMHB00186
SMSY00087,SMHB00255
SMSY00087,SMHB00303
SMSY00087,SMHB00335
SMSY00087,SMHB00085
SMSY00087,SMHB00140
SMSY00087,SMHB00148
SMSY00087,SMHB00172
SMSY00087,SMHB00184
SMSY00087,SMHB00483
SMSY00087,SMHB00183
SMSY00087,SMHB00278
SMSY00087,SMHB00281
SMSY00087,SMHB00325
SMSY00087,SMHB00449
SMSY00087,SMHB00121
SMSY00087,SMHB00482
SMSY00087,SMHB00392
SMSY00087,SMHB00503
SMSY00087,SMHB00413
SMSY00087,SMHB00038
SMSY00087,SMHB00071
SMSY00087,SMHB00650
SMSY00087,SMHB00585
SMSY00087,SMHB00081
SMSY00087,SMHB00026
SMSY00087,SMHB00668
SMSY00087,SMHB00601
SMSY00087,SMHB00263
SMSY00087,SMHB00188
SMSY00087,SMHB00648
SMSY00088,SMHB00588
SMSY00088,SMHB00040
SMSY00088,SMHB00391
SMSY00088,SMHB00528
SMSY00088,SMHB00398
SMSY00088,SMHB00392
SMSY00088,SMHB00003
SMSY00088,SMHB00514
SMSY00088,SMHB00598
SMSY00088,SMHB00483
SMSY00088,SMHB00389
SMSY00088,SMHB00303
SMSY00088,SMHB00654
SMSY00088,SMHB00445
SMSY00088,SMHB00018
SMSY00088,SMHB00482
SMSY00088,SMHB00541
SMSY00088,SMHB00542
SMSY00088,SMHB00491
SMSY00088,SMHB00168
SMSY00088,SMHB00699
SMSY00088,SMHB00538
SMSY00088,SMHB00255
SMSY00088,SMHB00227
SMSY00088,SMHB00056
SMSY00088,SMHB00247
SMSY00088,SMHB00469
SMSY00088,SMHB00207
SMSY00088,SMHB00635
SMSY00088,SMHB00638
SMSY00088,SMHB00449
SMSY00088,SMHB00702
SMSY00089,SMHB00445
SMSY00091,SMHB00040
SMSY00091,SMHB00391
SMSY00091,SMHB00541
SMSY00091,SMHB00635
SMSY00092,SMHB00588
SMSY00092,SMHB00528
SMSY00092,SMHB00398
SMSY00092,SMHB00303
SMSY00092,SMHB00538
SMSY00092,SMHB00469
SMSY00092,SMHB00702
SMSY00093,SMHB00303
SMSY00093,SMHB00420
SMSY00093,SMHB00500
SMSY00093,SMHB00110
SMSY00093,SMHB00319
SMSY00093,SMHB00398
SMSY00093,SMHB00364
SMSY00093,SMHB00075
SMSY00093,SMHB00220
SMSY00093,SMHB00674
SMSY00093,SMHB00170
SMSY00093,SMHB00546
SMSY00093,SMHB00549
SMSY00093,SMHB00028
SMSY00093,SMHB00491
SMSY00093,SMHB00566
SMSY00093,SMHB00495
SMSY00093,SMHB00262
SMSY00093,SMHB00628
